_date,total_clones,unique_clones
2023-01-30,30,4
2023-01-31,26,1
2023-02-01,34,3
2023-02-02,5,2
2023-02-03,7,3
2023-02-05,7,2
2023-02-06,6,1
2023-02-07,2,2
2023-02-08,3,3
2023-02-09,19,2
2023-02-10,22,2
2023-02-11,7,3
2023-02-12,9,2
2023-02-13,12,6
2023-02-14,15,3
2023-02-15,20,10
2023-02-16,11,2
2023-02-17,16,3
2023-02-18,5,1
2023-02-20,8,7
2023-02-21,18,4
2023-02-22,14,3
2023-02-23,3,3
2023-02-24,11,4
2023-02-25,1,1
2023-02-26,3,2
2023-02-27,20,1
2023-02-28,11,1
2023-03-01,8,4
2023-03-02,7,4
2023-03-03,1,1
2023-03-04,3,2
2023-03-05,1,1
2023-03-06,1,1
2023-03-07,3,2
2023-03-08,3,1
2023-03-09,2,2
2023-03-12,1,1
2023-03-13,8,7
2023-03-14,9,6
2023-03-15,13,7
2023-03-16,6,4
2023-03-17,8,7
2023-03-18,1,1
2023-03-20,5,5
2023-03-21,1,1
2023-03-22,1,1
2023-03-23,13,5
2023-03-24,8,5
2023-03-25,1,1
2023-03-26,1,1
2023-03-27,13,4
2023-03-28,6,4
2023-03-29,9,5
2023-03-30,11,7
2023-03-31,19,1
2023-04-03,4,4
2023-04-04,1,1
2023-04-05,2,2
2023-04-06,8,8
2023-04-07,2,2
2023-04-08,1,1
2023-04-10,4,4
2023-04-11,10,6
2023-04-12,10,5
2023-04-13,3,3
2023-04-14,7,1
2023-04-16,1,1
2023-04-17,9,3
2023-04-18,5,2
2023-04-19,4,4
2023-04-20,13,7
2023-04-21,10,7
2023-04-22,1,1
2023-04-23,3,2
2023-04-24,6,3
2023-04-25,16,5
2023-04-26,12,3
2023-04-27,8,6
2023-04-28,10,1
2023-04-29,3,2
2023-04-30,1,1
2023-05-01,4,3
2023-05-02,8,6
2023-05-03,13,9
2023-05-04,6,6
2023-05-05,7,2
2023-05-06,1,1
2023-05-08,41,9
2023-05-10,10,6
2023-05-11,20,4
2023-05-12,5,3
2023-05-13,1,1
2023-05-15,7,5
2023-05-16,13,12
2023-05-17,4,4
2023-05-18,3,3
2023-05-19,1,1
2023-05-20,3,2
2023-05-21,2,1
2023-05-22,23,6
2023-05-23,9,5
2023-05-24,11,7
2023-05-25,9,5
2023-05-26,17,4
2023-05-27,2,2
2023-05-29,6,5
2023-05-30,4,4
2023-05-31,6,2
2023-06-01,25,5
2023-06-02,16,3
2023-06-04,2,2
2023-06-05,7,6
2023-06-06,6,4
2023-06-07,24,6
2023-06-08,9,2
2023-06-09,8,5
2023-06-10,1,1
2023-06-11,2,2
2023-06-12,11,7
2023-06-13,6,4
2023-06-14,8,3
2023-06-15,5,5
2023-06-16,2,2
2023-06-17,1,1
2023-06-19,5,4
2023-06-20,1,1
2023-06-21,9,4
2023-06-22,12,3
2023-06-23,1,1
2023-06-24,1,1
2023-06-25,1,1
2023-06-26,9,8
2023-06-27,7,5
2023-06-28,12,4
2023-06-29,24,6
2023-06-30,20,3
2023-07-02,18,4
2023-07-03,11,8
2023-07-04,3,3
2023-07-05,4,2
2023-07-06,29,5
2023-07-07,9,2
2023-07-08,2,2
2023-07-09,1,1
2023-07-10,11,10
2023-07-11,13,8
2023-07-12,4,3
2023-07-13,6,3
2023-07-14,3,3
2023-07-15,1,1
2023-07-16,3,2
2023-07-17,15,6
2023-07-19,8,5
2023-07-20,8,5
2023-07-21,6,4
2023-07-22,3,2
2023-07-23,4,2
2023-07-24,11,7
2023-07-25,8,4
2023-07-26,12,5
2023-07-27,4,2
2023-07-28,13,8
2023-07-29,2,2
2023-07-30,1,1
2023-07-31,12,5
2023-08-01,5,2
2023-08-02,5,4
2023-08-03,5,5
2023-08-04,16,3
2023-08-05,3,2
2023-08-06,5,4
2023-08-07,21,9
2023-08-08,30,9
2023-08-09,9,4
2023-08-10,10,6
2023-08-11,16,5
2023-08-12,6,5
2023-08-13,2,2
2023-08-14,23,10
2023-08-15,8,5
2023-08-16,18,4
2023-08-17,13,5
2023-08-18,8,2
2023-08-19,2,2
2023-08-20,2,2
